"time","id","location","accuracy","scale","algo","association_status","cl_radio","ap_cardinality"
"2017-09-01 19:28:31","0a6eb3c27a07143b5da2ceaed92dbe21ad70ba44","2010400454","99.233","5","4","t","5GHz","1"
"2017-09-01 19:28:31","bad82ee0569948075ee50326858fff2a53b0c231","2010600555","99.8","5","4","t","5GHz","1"
"2017-09-01 19:28:31","b197178f8bb84f1da340a1ef773382e59ca8c221","2010600896","99.7818","5","4","t","5GHz","1"
"2017-09-01 19:28:31","09be8588b23cc30298ab7622889a9c4a07b5b605","2010400021","99.6838","5","4","t","5GHz","1"
"2017-09-01 19:28:31","68ebf81de7734b30afe832b733283509b54263e7","2010400453","98.706","5","4","t","5GHz","2"
"2017-09-01 19:28:31","eca412488fe3d92da56fd91a4f99bc3d4b576bc2","2010300422","99.6078","5","4","f","2.4GHz","1"
"2017-09-01 19:28:31","77dc0cd43e242adba4875bd501bb45224ff6cf47","2010400616","98.8873","5","4","f","2.4GHz","1"
"2017-09-01 19:28:31","8a15d160f526b44055002c87c2d698f902b7d3b3","2010600475","99.3533","5","4","t","5GHz","1"
"2017-09-01 19:28:31","acd9cf6b734c4ebea31548c443d2f023e7f07d32","2010300374","99.6838","5","4","f","2.4GHz","1"
"2017-09-01 19:28:31","89482b27b1e2b0fef0008da7b8d03599fe1ebca0","2010300109","99.0496","5","4","f","2.4GHz","1"
"2017-09-01 19:28:31","038d4f0d0ef85242a259fefd817aa4b0fd182006","2010600820","99.583","5","4","t","5GHz","1"
"2017-09-01 19:28:31","132203321236efa2207c1eeda235797da4d32d93","2010400450","99.5697","5","4","f","2.4GHz","1"
"2017-09-01 19:28:31","6d3049039f4374bf80a591c8c51016baffd767a0","2010400597","97.9324","5","4","f","2.4GHz","2"
"2017-09-01 19:28:31","ec1a1a0e989d1cdf72b4589f73751833b3a36464","2010300157","99.5412","5","4","t","5GHz","1"
"2017-09-01 19:28:31","e87f5e96a2fda679221b856881e01a579ef6cba7","2010600977","98.6812","5","4","t","5GHz","2"
"2017-09-01 19:28:31","9bd32fbdda6d1cfd01859af7d5cb122f83914dea","2010400582","99.6838","5","4","f","2.4GHz","1"
"2017-09-01 19:28:31","af6166813dd6abd8a87bb4cfaa30c8e9736d6c29","2010600937","99.8356","5","4","f","5GHz","1"
"2017-09-01 19:28:31","9b32804f0df43bed674c3d65367bc3a4ef0ced91","2010600128","99.6838","5","4","f","2.4GHz","1"
"2017-09-01 19:28:31","cc8e5a60a9e4f814c1fd3305dd44473a2d4a8c3c","2010600219","99.7706","5","4","f","2.4GHz","1"
"2017-09-01 19:28:31","4411e6fbaa5b66c764b51335264fec13aa19b854","2010600168","97.8083","5","4","f","5GHz","2"
"2017-09-01 19:28:31","f7cae5e47ca9bdc69178f8bb011dc4b3274427d1","2010400371","96.2132","5","4","f","2.4GHz","3"
"2017-09-01 19:28:31","e7b78621cd1489c2f7fc9b8319f1988ac0ed9377","2010600100","99.6838","5","4","t","2.4GHz","1"
"2017-09-01 19:28:31","1aafc59d47a1655f2e49a8dd7a256242b5f61c51","2010400406","99.6838","5","4","t","5GHz","1"
"2017-09-01 19:28:31","fa6f46757e9510bdcf395fef63a0ba9586eadfc4","2010300654","99.657","5","4","t","2.4GHz","1"
"2017-09-01 19:28:31","c9aed032a0ffaa3e785b84152289462cb6fc9094","2010400586","99.6838","5","4","t","5GHz","1"
"2017-09-01 19:28:31","54382500ea098b7e79ab5580392fc8ea4673ff8a","2010400477","99.3675","5","4","t","5GHz","1"
"2017-09-01 19:28:31","c0cedd3a6d5669896dea10ecdc400fa15450c104","2010600156","97.4892","5","4","f","2.4GHz","2"
"2017-09-01 19:28:31","4168449651b789210993684266634f39a0cfd589","2010600871","99.8333","5","4","f","5GHz","1"
"2017-09-01 19:28:31","f1c9fde9896a7f8049d72e098dbe7a47d572eaea","2010400065","99.4443","5","4","f","5GHz","2"
"2017-09-01 19:28:31","abff002ebb27d6241b2464409e19f9b5641e4a60","2010300304","99.6151","5","4","t","5GHz","1"
"2017-09-01 19:28:31","603d28322d19039d8060af4bf6daef5433a73540","2010400578","99.4523","5","4","f","5GHz","1"
"2017-09-01 19:28:31","c18ca2276779aab2f73c8496e4783654a625f1c9","2010600187","99.6914","5","4","t","5GHz","1"
"2017-09-01 19:28:31","1f7dca540d69e0d9eb7babd7b2a129c0ff3dc71c","2010600940","99.7226","5","4","f","5GHz","1"
"2017-09-01 19:28:31","1c3b7422b1890b1e4cbc70633d9f59ed73e05eaa","2010400464","99.4456","5","4","f","2.4GHz","2"
"2017-09-01 19:28:31","037665a4ba41e2dbd8d8f207ca0319cc9bfaeba7","2010400130","99.6838","5","4","t","5GHz","1"
"2017-09-01 19:28:31","f33c6a0f9641edadc30a2e7f7e0822ba5b559224","2010600547","99.7915","5","4","f","5GHz","1"
"2017-09-01 19:28:31","35323c4ce640e26370340c5bbc6e9da64d4cd489","2010400235","99.8143","5","4","t","2.4GHz","1"
"2017-09-01 19:28:31","9d26d9af357781f2bcff62b639727ea91bbfb123","2010400457","99.3016","5","4","t","5GHz","1"
"2017-09-01 19:28:31","930d60704f1ab0e7eb9fb11abd40be0c17b7659a","2010400610","99.5","5","4","f","2.4GHz","1"
"2017-09-01 19:28:31","9c6b46e9f3672f154cc526a852f242396e41b3fb","2010100015","99.233","5","4","f","5GHz","1"
"2017-09-01 19:28:31","99f232259b0301c8b6be7cc41f6481abbb42bdc9","2010400281","99.5528","5","4","f","5GHz","1"
"2017-09-01 19:28:31","44061d6375b8bd45aa2a0df1dce5c7acd1a714a0","2010600914","99.3453","5","4","t","5GHz","2"
"2017-09-01 19:28:31","dd426d1c9e41d52669267f6892a89cbfe9ba5d1c","2010400454","97.858","5","4","t","5GHz","1"
"2017-09-01 19:28:31","dd4c75a9d159e22278ed20131603a4a876d030cb","2010300229","99.4359","5","4","f","2.4GHz","1"
"2017-09-01 19:28:31","7ab23744d4c4ad506e95da92a498791dbedea517","2010600977","97.4263","5","4","f","5GHz","3"
"2017-09-01 19:28:31","7532f87fedb01e0b8626dbb888fdb2122701556c","2010600629","99.1439","5","4","f","5GHz","2"
"2017-09-01 19:28:31","8d75ab8266d8d0f707d58a3cd7feaa840e379636","2010400415","99.4331","5","4","t","5GHz","1"
"2017-09-01 19:28:31","49f124c334b304f65ea26be8f8130b951f95a342","2010400103","99.6838","5","4","f","5GHz","1"
"2017-09-01 19:28:31","8015001da2f90de91daa6ccb4c5b7bdc875743a4","2010600624","99.1435","5","4","f","5GHz","3"
"2017-09-01 19:28:31","bb057cd6a681e0a6490d76775924776e6567a6f7","2010600132","99.7374","5","4","f","2.4GHz","1"
"2017-09-01 19:28:31","c4648f8015208f6b1a50ba9999fa5076322cac5f","2010600901","99.7706","5","4","t","5GHz","1"
"2017-09-01 19:28:31","48b889c986c4c341e961c2843402f1ac72f6624a","2010400295","97.9965","5","4","f","5GHz","2"
"2017-09-01 19:28:31","a32c5f147983bf0c334916653b6a56eb7bce5c96","2010300333","99.6985","5","4","f","5GHz","1"
"2017-09-01 19:28:31","f284446bedd60ee0c5cf6313420257859cdf2ed0","2010400480","99.6838","5","4","f","5GHz","1"
